datetime,co2content,temperature
2023-11-27 11:46:32,2879.84,19.82
2023-11-27 11:58:46,3261.69,19.83
2023-11-27 12:11:00,2504.53,19.51
2023-11-27 12:23:14,2776.76,19.7
2023-11-27 12:35:27,3099.84,19.81
2023-11-27 12:47:45,3315.69,19.85
2023-11-27 12:59:56,3267.76,19.67
2023-11-27 13:12:10,2152.69,19.4
2023-11-27 13:24:24,1510.38,19.07
2023-11-27 13:36:38,1358.23,19.03
2023-11-27 13:48:52,1441.92,19.19
2023-11-27 14:01:06,1461.76,19.24
2023-11-27 14:13:20,1445.23,19.26
2023-11-27 14:25:37,1436.3,19.24
2023-11-27 14:37:48,1432.61,19.23
2023-11-27 14:50:02,1425.15,19.23
2023-11-27 15:02:16,1414.15,19.23
2023-11-27 15:14:30,1420.53,19.22
2023-11-27 15:26:44,1420.53,19.2
2023-11-27 15:38:58,1414.69,19.15
2023-11-27 15:51:12,1411.69,19.11
2023-11-27 16:03:26,1405.84,19.08
2023-11-27 16:15:40,1404.46,19.04
2023-11-27 16:27:54,1416.0,19.04
2023-11-27 16:40:08,1413.84,19.04
2023-11-27 16:52:22,1408.0,19.05
2023-11-27 17:04:36,1409.38,19.03
2023-11-27 17:16:50,1414.0,19.0
2023-11-27 17:29:04,1401.07,19.01
2023-11-27 17:41:18,1394.07,19.01
2023-11-27 17:53:32,1393.61,19.01
2023-11-27 18:05:45,1388.69,19.02
2023-11-27 18:18:00,1384.0,19.02
2023-11-27 18:30:14,1376.07,19.0
2023-11-27 18:42:28,1374.61,18.99
2023-11-27 18:54:42,1363.15,19.01
2023-11-27 19:06:55,1360.69,19.01
2023-11-27 19:19:10,1346.69,18.99
2023-11-27 19:31:24,1348.3,18.99
2023-11-27 19:43:38,1334.23,18.96
2023-11-27 19:55:52,1330.3,18.97
2023-11-27 20:08:06,1327.15,18.96
2023-11-27 20:20:20,1326.46,18.98
2023-11-27 20:32:34,1309.3,18.96
2023-11-27 20:44:48,1315.15,18.96
2023-11-27 20:57:02,1298.23,18.96
2023-11-27 21:09:16,1290.46,18.96
2023-11-27 21:21:33,1279.07,18.94
2023-11-27 21:33:44,1284.23,18.92
2023-11-27 21:45:58,1269.3,18.91
2023-11-27 21:58:12,1260.46,18.91
2023-11-27 22:10:26,1259.15,18.88
2023-11-27 22:22:40,1246.84,18.88
2023-11-27 22:34:54,1237.0,18.86
2023-11-27 22:47:08,1231.23,18.85
2023-11-27 22:59:22,1218.76,18.86
2023-11-27 23:11:36,1206.84,18.87
2023-11-27 23:23:50,1202.23,18.87
2023-11-27 23:36:04,1191.23,18.87
2023-11-27 23:48:18,1188.07,18.89
2023-11-28 00:00:32,1181.84,18.88
2023-11-28 00:12:46,1174.92,18.88
2023-11-28 00:25:00,1157.0,18.88
2023-11-28 00:37:14,1154.69,18.88
2023-11-28 00:49:28,1141.46,18.87
2023-11-28 01:01:42,1132.23,18.85
2023-11-28 01:13:56,1111.69,18.85
2023-11-28 01:26:10,1109.46,18.85
2023-11-28 01:38:24,1109.92,18.84
2023-11-28 01:50:37,1095.15,18.84
2023-11-28 02:02:52,1083.84,18.84
2023-11-28 02:15:05,1082.23,18.84
2023-11-28 02:27:20,1067.3,18.83
2023-11-28 02:39:34,1050.3,18.81
2023-11-28 02:51:48,1054.0,18.82
2023-11-28 03:04:02,1036.92,18.82
2023-11-28 03:16:16,1035.53,18.83
2023-11-28 03:28:30,1033.84,18.83
2023-11-28 03:40:44,1031.76,18.82
2023-11-28 03:52:57,1019.0,18.79
2023-11-28 04:05:12,1011.23,18.78
2023-11-28 04:17:26,1008.84,18.75
2023-11-28 04:29:40,995.0,18.75
2023-11-28 04:41:53,988.84,18.75
2023-11-28 04:54:08,981.84,18.73
