datetime,co2content,temperature
2023-12-15 09:39:04,1579.07,17.55
2023-12-15 09:51:18,1424.15,18.05
2023-12-15 10:15:43,1396.84,18.66
2023-12-15 10:28:01,1948.07,18.87
2023-12-15 10:40:14,2513.53,19.04
2023-12-15 11:04:40,3465.46,19.18
2023-12-15 11:16:54,3487.07,19.17
2023-12-15 11:41:22,2930.15,19.08
2023-12-15 11:53:42,2920.76,19.02
2023-12-15 12:18:04,1859.46,18.6
2023-12-15 12:30:18,1665.53,18.75
2023-12-15 12:42:32,1544.38,18.8
2023-12-15 12:54:46,1302.61,18.54
2023-12-15 13:07:03,921.15,18.16
2023-12-15 13:19:14,856.46,18.2
2023-12-15 13:31:28,809.53,18.29
2023-12-15 13:43:42,687.38,18.23
2023-12-15 13:55:56,622.0,18.17
2023-12-15 14:08:10,601.3,18.15
2023-12-15 14:20:27,595.69,18.11
2023-12-15 14:32:38,589.15,18.02
2023-12-15 14:44:52,581.46,17.97
2023-12-15 14:57:06,587.23,18.05
2023-12-15 15:09:20,765.07,18.46
2023-12-15 15:33:49,851.69,18.92
2023-12-15 15:46:03,868.46,18.96
2023-12-15 15:58:20,863.92,18.91
2023-12-15 16:10:31,868.07,18.84
2023-12-15 16:22:48,870.84,18.76
2023-12-15 16:35:02,874.0,18.69
2023-12-15 16:47:13,876.3,18.64
2023-12-15 16:59:30,880.76,18.63
2023-12-15 17:23:54,873.23,18.63
2023-12-15 17:36:09,876.61,18.61
2023-12-15 17:48:23,883.07,18.58
2023-12-15 18:00:37,895.15,18.58
2023-12-15 18:12:51,891.07,18.59
2023-12-15 18:25:05,887.61,18.61
2023-12-15 18:37:19,889.46,18.63
2023-12-15 18:49:33,895.0,18.62
2023-12-15 19:01:50,892.84,18.62
2023-12-15 19:14:01,900.84,18.61
2023-12-15 19:26:15,899.3,18.59
2023-12-15 19:38:29,900.84,18.58
2023-12-15 19:50:44,893.3,18.56
2023-12-15 20:02:57,895.69,18.58
2023-12-15 20:15:12,895.92,18.57
2023-12-15 20:27:25,895.0,18.41
2023-12-15 20:39:40,887.23,18.55
2023-12-15 20:51:54,894.3,18.53
2023-12-15 21:04:11,895.84,18.54
2023-12-15 21:16:22,893.84,18.54
2023-12-15 21:28:36,896.07,18.55
2023-12-15 21:40:50,895.76,18.56
2023-12-15 21:53:07,897.0,18.57
2023-12-15 22:05:24,896.92,18.56
2023-12-15 22:17:32,898.53,18.55
2023-12-15 22:29:46,898.3,18.54
2023-12-15 22:42:00,895.38,18.53
2023-12-15 22:54:17,890.07,18.53
2023-12-15 23:06:28,894.23,18.54
2023-12-15 23:18:42,887.76,18.56
2023-12-15 23:30:56,888.07,18.57
2023-12-15 23:43:10,892.3,18.58
2023-12-15 23:55:24,886.0,18.59
2023-12-16 00:07:38,892.76,18.59
2023-12-16 00:19:55,887.53,18.58
2023-12-16 00:32:09,885.23,18.6
2023-12-16 00:44:20,886.0,18.6
2023-12-16 00:56:34,886.0,18.59
2023-12-16 01:08:48,879.07,18.55
2023-12-16 01:21:05,881.15,18.55
2023-12-16 01:33:19,885.84,18.56
2023-12-16 01:45:36,871.15,18.55
2023-12-16 01:57:44,877.84,18.55
2023-12-16 02:09:58,874.0,18.55
2023-12-16 02:22:12,872.76,18.57
2023-12-16 02:34:26,867.3,18.57
2023-12-16 02:46:40,866.23,18.57
2023-12-16 02:58:54,864.53,18.57
2023-12-16 03:23:22,859.53,18.58
2023-12-16 03:35:36,857.61,18.56
2023-12-16 03:47:50,861.3,18.55
2023-12-16 04:00:04,857.0,18.56
2023-12-16 04:12:18,845.84,18.56
2023-12-16 04:24:35,855.53,18.58
2023-12-16 04:36:46,850.23,18.59
2023-12-16 04:49:00,848.53,18.47
2023-12-16 05:01:14,844.53,18.6
2023-12-16 05:13:28,840.07,18.61
2023-12-16 05:25:45,842.61,18.6
2023-12-16 05:37:59,833.61,18.62
2023-12-16 05:50:10,831.84,18.62
2023-12-16 06:14:38,825.38,18.62
2023-12-16 06:26:52,823.53,18.62
2023-12-16 06:39:06,819.69,18.59
2023-12-16 06:51:23,822.38,18.59
2023-12-16 07:03:37,822.84,18.59
2023-12-16 07:40:23,807.92,18.57
2023-12-16 07:52:30,799.69,18.59
2023-12-16 08:04:44,810.38,18.61
2023-12-16 08:16:58,813.15,18.6
2023-12-16 08:29:19,799.15,18.6
2023-12-16 08:41:27,801.46,18.59
2023-12-16 08:53:40,793.0,18.6
2023-12-16 09:05:58,789.61,18.59
2023-12-16 09:18:12,790.92,18.58
2023-12-16 09:42:37,787.38,18.59
2023-12-16 09:54:50,785.61,18.59
2023-12-16 10:07:08,775.46,18.56
2023-12-16 10:19:22,782.0,18.57
2023-12-16 10:31:33,781.07,18.56
2023-12-16 10:43:47,775.92,18.55
2023-12-16 10:56:00,769.61,18.57
2023-12-16 11:08:15,766.92,18.58
2023-12-16 11:20:31,776.0,18.6
2023-12-16 11:32:46,772.15,18.62
2023-12-16 11:44:57,764.84,18.6
2023-12-16 11:57:11,762.61,18.6
2023-12-16 12:09:28,763.69,18.62
2023-12-16 12:21:39,753.0,18.62
2023-12-16 12:33:56,759.38,18.6
2023-12-16 12:46:07,754.23,18.6
2023-12-16 12:58:21,755.07,18.62
2023-12-16 13:22:49,744.69,18.63
2023-12-16 13:47:17,739.15,18.66
2023-12-16 13:59:34,737.92,18.66
2023-12-16 14:24:02,728.92,18.61
2023-12-16 14:36:13,728.07,18.63
2023-12-16 14:48:27,732.61,18.64
2023-12-16 15:00:41,729.0,18.63
2023-12-16 15:25:09,722.15,18.61
2023-12-16 15:49:37,714.84,18.62
2023-12-16 16:14:05,710.38,18.62
2023-12-16 16:26:22,712.46,18.62
2023-12-16 16:38:33,713.3,18.61
2023-12-16 16:50:47,705.46,18.61
